[1]	train's auc: 0.619291	train's online_auc: 0.611129	valid's auc: 0.619593	valid's online_auc: 0.612418
[516]	train's auc: 0.765405	train's online_auc: 0.768644	valid's auc: 0.73405	valid's online_auc: 0.7291
[517]	train's auc: 0.765451	train's online_auc: 0.768689	valid's auc: 0.734052	valid's online_auc: 0.729109
[518]	train's auc: 0.76548	train's online_auc: 0.768717	valid's auc: 0.734053	valid's online_auc: 0.729101
[519]	train's auc: 0.765525	train's online_auc: 0.768734	valid's auc: 0.734058	valid's online_auc: 0.729101
[520]	train's auc: 0.765561	train's online_auc: 0.768793	valid's auc: 0.734059	valid's online_auc: 0.729105
[521]	train's auc: 0.765674	train's online_auc: 0.768892	valid's auc: 0.734095	valid's online_auc: 0.729138
[522]	train's auc: 0.765723	train's online_auc: 0.769006	valid's auc: 0.734109	valid's online_auc: 0.729141
[523]	train's auc: 0.765773	train's online_auc: 0.769073	valid's auc: 0.734101	valid's online_auc: 0.729137
[524]	train's auc: 0.7658	train's online_auc: 0.769095	valid's auc: 0.734104	valid's online_auc: 0.729143
[525]	train's auc: 0.765837	train's online_auc: 0.769133	valid's auc: 0.73412	valid's online_auc: 0.729154
[526]	train's auc: 0.765909	train's online_auc: 0.769325	valid's auc: 0.734121	valid's online_auc: 0.729143
[527]	train's auc: 0.765997	train's online_auc: 0.769431	valid's auc: 0.734152	valid's online_auc: 0.729228
[528]	train's auc: 0.766042	train's online_auc: 0.76947	valid's auc: 0.734152	valid's online_auc: 0.729235
[529]	train's auc: 0.766076	train's online_auc: 0.769559	valid's auc: 0.734162	valid's online_auc: 0.729248
[530]	train's auc: 0.766108	train's online_auc: 0.769598	valid's auc: 0.734175	valid's online_auc: 0.729262
[531]	train's auc: 0.766149	train's online_auc: 0.769647	valid's auc: 0.734166	valid's online_auc: 0.729245
[532]	train's auc: 0.766183	train's online_auc: 0.769678	valid's auc: 0.734176	valid's online_auc: 0.729252
[533]	train's auc: 0.766205	train's online_auc: 0.769692	valid's auc: 0.73417	valid's online_auc: 0.729249
[534]	train's auc: 0.76625	train's online_auc: 0.769758	valid's auc: 0.734177	valid's online_auc: 0.729253
[535]	train's auc: 0.766268	train's online_auc: 0.769789	valid's auc: 0.734177	valid's online_auc: 0.729251
[536]	train's auc: 0.766313	train's online_auc: 0.769828	valid's auc: 0.734173	valid's online_auc: 0.729238
[537]	train's auc: 0.766432	train's online_auc: 0.769993	valid's auc: 0.734233	valid's online_auc: 0.729294
[538]	train's auc: 0.766489	train's online_auc: 0.770047	valid's auc: 0.734243	valid's online_auc: 0.729311
[539]	train's auc: 0.76654	train's online_auc: 0.770088	valid's auc: 0.734238	valid's online_auc: 0.729301
[540]	train's auc: 0.766592	train's online_auc: 0.77015	valid's auc: 0.734254	valid's online_auc: 0.729301
[541]	train's auc: 0.766635	train's online_auc: 0.770194	valid's auc: 0.734275	valid's online_auc: 0.729312
[542]	train's auc: 0.7667	train's online_auc: 0.770263	valid's auc: 0.73428	valid's online_auc: 0.729352
[543]	train's auc: 0.766758	train's online_auc: 0.77031	valid's auc: 0.734293	valid's online_auc: 0.729344
[544]	train's auc: 0.766838	train's online_auc: 0.770409	valid's auc: 0.73432	valid's online_auc: 0.729361
[545]	train's auc: 0.766891	train's online_auc: 0.770465	valid's auc: 0.734326	valid's online_auc: 0.729371
[546]	train's auc: 0.766921	train's online_auc: 0.770502	valid's auc: 0.734325	valid's online_auc: 0.729365
[547]	train's auc: 0.766953	train's online_auc: 0.770542	valid's auc: 0.73434	valid's online_auc: 0.729388
[548]	train's auc: 0.767017	train's online_auc: 0.770642	valid's auc: 0.734342	valid's online_auc: 0.729412
[549]	train's auc: 0.767046	train's online_auc: 0.770684	valid's auc: 0.734347	valid's online_auc: 0.72944
[550]	train's auc: 0.767087	train's online_auc: 0.770748	valid's auc: 0.734351	valid's online_auc: 0.729443
[551]	train's auc: 0.767105	train's online_auc: 0.770771	valid's auc: 0.734361	valid's online_auc: 0.729467
[552]	train's auc: 0.767161	train's online_auc: 0.770834	valid's auc: 0.734371	valid's online_auc: 0.729467
[553]	train's auc: 0.767223	train's online_auc: 0.770896	valid's auc: 0.734393	valid's online_auc: 0.729477
[554]	train's auc: 0.767254	train's online_auc: 0.770921	valid's auc: 0.734403	valid's online_auc: 0.729498
[555]	train's auc: 0.767273	train's online_auc: 0.770958	valid's auc: 0.73441	valid's online_auc: 0.729513
[556]	train's auc: 0.7673	train's online_auc: 0.770991	valid's auc: 0.734409	valid's online_auc: 0.729512
[557]	train's auc: 0.767339	train's online_auc: 0.77103	valid's auc: 0.734421	valid's online_auc: 0.729521
[558]	train's auc: 0.76737	train's online_auc: 0.77107	valid's auc: 0.734416	valid's online_auc: 0.729503
[559]	train's auc: 0.767392	train's online_auc: 0.771093	valid's auc: 0.734412	valid's online_auc: 0.729499
[560]	train's auc: 0.767426	train's online_auc: 0.771111	valid's auc: 0.734416	valid's online_auc: 0.72951
[561]	train's auc: 0.76746	train's online_auc: 0.771125	valid's auc: 0.734422	valid's online_auc: 0.729509
[562]	train's auc: 0.767506	train's online_auc: 0.77116	valid's auc: 0.734432	valid's online_auc: 0.729552
[563]	train's auc: 0.767634	train's online_auc: 0.771287	valid's auc: 0.734449	valid's online_auc: 0.729575
[564]	train's auc: 0.767661	train's online_auc: 0.771334	valid's auc: 0.734443	valid's online_auc: 0.729574
[565]	train's auc: 0.767709	train's online_auc: 0.771399	valid's auc: 0.734458	valid's online_auc: 0.729658
[566]	train's auc: 0.767736	train's online_auc: 0.771435	valid's auc: 0.734468	valid's online_auc: 0.729663
[567]	train's auc: 0.767808	train's online_auc: 0.771479	valid's auc: 0.734494	valid's online_auc: 0.729691
[568]	train's auc: 0.767852	train's online_auc: 0.771522	valid's auc: 0.734515	valid's online_auc: 0.729751
[569]	train's auc: 0.767918	train's online_auc: 0.771664	valid's auc: 0.734524	valid's online_auc: 0.72976
[570]	train's auc: 0.76796	train's online_auc: 0.771709	valid's auc: 0.73452	valid's online_auc: 0.729756
[571]	train's auc: 0.767984	train's online_auc: 0.771734	valid's auc: 0.734523	valid's online_auc: 0.729754
[572]	train's auc: 0.768036	train's online_auc: 0.771802	valid's auc: 0.734519	valid's online_auc: 0.72974
[573]	train's auc: 0.768055	train's online_auc: 0.77183	valid's auc: 0.734532	valid's online_auc: 0.729755
[574]	train's auc: 0.768098	train's online_auc: 0.771881	valid's auc: 0.734534	valid's online_auc: 0.729766
[575]	train's auc: 0.768173	train's online_auc: 0.771926	valid's auc: 0.734537	valid's online_auc: 0.729781
[576]	train's auc: 0.768228	train's online_auc: 0.771985	valid's auc: 0.734539	valid's online_auc: 0.729773
[577]	train's auc: 0.76832	train's online_auc: 0.772148	valid's auc: 0.734555	valid's online_auc: 0.729795
[578]	train's auc: 0.768393	train's online_auc: 0.772218	valid's auc: 0.734583	valid's online_auc: 0.729818
[579]	train's auc: 0.768418	train's online_auc: 0.77224	valid's auc: 0.734577	valid's online_auc: 0.729813
[580]	train's auc: 0.768483	train's online_auc: 0.772456	valid's auc: 0.734573	valid's online_auc: 0.729808
[581]	train's auc: 0.768502	train's online_auc: 0.77248	valid's auc: 0.734579	valid's online_auc: 0.729834
[582]	train's auc: 0.768537	train's online_auc: 0.772504	valid's auc: 0.734596	valid's online_auc: 0.729839
[583]	train's auc: 0.768569	train's online_auc: 0.772549	valid's auc: 0.734607	valid's online_auc: 0.729845
[584]	train's auc: 0.768636	train's online_auc: 0.772736	valid's auc: 0.734612	valid's online_auc: 0.729891
[585]	train's auc: 0.76869	train's online_auc: 0.772795	valid's auc: 0.734609	valid's online_auc: 0.729875
[586]	train's auc: 0.76875	train's online_auc: 0.772857	valid's auc: 0.734634	valid's online_auc: 0.729914
[587]	train's auc: 0.768785	train's online_auc: 0.772893	valid's auc: 0.734636	valid's online_auc: 0.729898
[588]	train's auc: 0.768811	train's online_auc: 0.772915	valid's auc: 0.734633	valid's online_auc: 0.729903
[589]	train's auc: 0.768866	train's online_auc: 0.772985	valid's auc: 0.734644	valid's online_auc: 0.729902
[590]	train's auc: 0.768891	train's online_auc: 0.773021	valid's auc: 0.734639	valid's online_auc: 0.729903
[591]	train's auc: 0.768962	train's online_auc: 0.773101	valid's auc: 0.734649	valid's online_auc: 0.729889
[592]	train's auc: 0.769023	train's online_auc: 0.773153	valid's auc: 0.734661	valid's online_auc: 0.729901
[593]	train's auc: 0.769102	train's online_auc: 0.773208	valid's auc: 0.734701	valid's online_auc: 0.729906
[594]	train's auc: 0.769154	train's online_auc: 0.773261	valid's auc: 0.734709	valid's online_auc: 0.72991
[595]	train's auc: 0.769236	train's online_auc: 0.773378	valid's auc: 0.73471	valid's online_auc: 0.729894
[596]	train's auc: 0.76929	train's online_auc: 0.773437	valid's auc: 0.734722	valid's online_auc: 0.72991
[597]	train's auc: 0.769329	train's online_auc: 0.773482	valid's auc: 0.734714	valid's online_auc: 0.729894
[598]	train's auc: 0.769366	train's online_auc: 0.773514	valid's auc: 0.734716	valid's online_auc: 0.7299
[599]	train's auc: 0.76941	train's online_auc: 0.773558	valid's auc: 0.734726	valid's online_auc: 0.729894
[600]	train's auc: 0.769447	train's online_auc: 0.773599	valid's auc: 0.734727	valid's online_auc: 0.729895
[601]	train's auc: 0.769475	train's online_auc: 0.77362	valid's auc: 0.734733	valid's online_auc: 0.729892
[602]	train's auc: 0.769557	train's online_auc: 0.773744	valid's auc: 0.734804	valid's online_auc: 0.730002
[603]	train's auc: 0.769622	train's online_auc: 0.773811	valid's auc: 0.734829	valid's online_auc: 0.730023
[604]	train's auc: 0.769647	train's online_auc: 0.773842	valid's auc: 0.734828	valid's online_auc: 0.730033
[605]	train's auc: 0.769674	train's online_auc: 0.773876	valid's auc: 0.734835	valid's online_auc: 0.730037
[606]	train's auc: 0.769702	train's online_auc: 0.773912	valid's auc: 0.734849	valid's online_auc: 0.73005
[607]	train's auc: 0.769748	train's online_auc: 0.773954	valid's auc: 0.73485	valid's online_auc: 0.730047
[608]	train's auc: 0.76979	train's online_auc: 0.773972	valid's auc: 0.734863	valid's online_auc: 0.730071
[609]	train's auc: 0.769847	train's online_auc: 0.774051	valid's auc: 0.734858	valid's online_auc: 0.730063
[610]	train's auc: 0.769888	train's online_auc: 0.774105	valid's auc: 0.734856	valid's online_auc: 0.730054
[611]	train's auc: 0.769934	train's online_auc: 0.774154	valid's auc: 0.734868	valid's online_auc: 0.730075
[612]	train's auc: 0.769969	train's online_auc: 0.77421	valid's auc: 0.734871	valid's online_auc: 0.730088
[613]	train's auc: 0.770015	train's online_auc: 0.774263	valid's auc: 0.734865	valid's online_auc: 0.730067
[614]	train's auc: 0.770033	train's online_auc: 0.774297	valid's auc: 0.734877	valid's online_auc: 0.730095
[615]	train's auc: 0.770081	train's online_auc: 0.774383	valid's auc: 0.734887	valid's online_auc: 0.730192
[616]	train's auc: 0.770134	train's online_auc: 0.774427	valid's auc: 0.734897	valid's online_auc: 0.730207
[617]	train's auc: 0.770177	train's online_auc: 0.774452	valid's auc: 0.734907	valid's online_auc: 0.730197
[618]	train's auc: 0.770333	train's online_auc: 0.774574	valid's auc: 0.734999	valid's online_auc: 0.730268
[619]	train's auc: 0.770398	train's online_auc: 0.774658	valid's auc: 0.735003	valid's online_auc: 0.73027
[620]	train's auc: 0.770457	train's online_auc: 0.774694	valid's auc: 0.734999	valid's online_auc: 0.730263
[621]	train's auc: 0.770486	train's online_auc: 0.774711	valid's auc: 0.735012	valid's online_auc: 0.730273
[622]	train's auc: 0.770528	train's online_auc: 0.774759	valid's auc: 0.735017	valid's online_auc: 0.730294
[623]	train's auc: 0.770562	train's online_auc: 0.774809	valid's auc: 0.735024	valid's online_auc: 0.730327
[624]	train's auc: 0.770602	train's online_auc: 0.774837	valid's auc: 0.735023	valid's online_auc: 0.730325
[625]	train's auc: 0.770641	train's online_auc: 0.774898	valid's auc: 0.735025	valid's online_auc: 0.730329
[626]	train's auc: 0.770685	train's online_auc: 0.774933	valid's auc: 0.735025	valid's online_auc: 0.730326
[627]	train's auc: 0.770712	train's online_auc: 0.774959	valid's auc: 0.735027	valid's online_auc: 0.73033
[628]	train's auc: 0.770742	train's online_auc: 0.774993	valid's auc: 0.735042	valid's online_auc: 0.730348
[629]	train's auc: 0.770784	train's online_auc: 0.77503	valid's auc: 0.735047	valid's online_auc: 0.730355
[630]	train's auc: 0.770821	train's online_auc: 0.775098	valid's auc: 0.735042	valid's online_auc: 0.73034
[631]	train's auc: 0.770833	train's online_auc: 0.77511	valid's auc: 0.735045	valid's online_auc: 0.730335
[632]	train's auc: 0.770861	train's online_auc: 0.775142	valid's auc: 0.735052	valid's online_auc: 0.730332
[633]	train's auc: 0.770904	train's online_auc: 0.775192	valid's auc: 0.735055	valid's online_auc: 0.730336
[634]	train's auc: 0.770952	train's online_auc: 0.775261	valid's auc: 0.735057	valid's online_auc: 0.730329
[635]	train's auc: 0.771037	train's online_auc: 0.775372	valid's auc: 0.735077	valid's online_auc: 0.730359
[636]	train's auc: 0.771087	train's online_auc: 0.775423	valid's auc: 0.735085	valid's online_auc: 0.73037
[637]	train's auc: 0.771134	train's online_auc: 0.775456	valid's auc: 0.735089	valid's online_auc: 0.730394
[638]	train's auc: 0.771173	train's online_auc: 0.775505	valid's auc: 0.735099	valid's online_auc: 0.730411
[639]	train's auc: 0.771205	train's online_auc: 0.775534	valid's auc: 0.735101	valid's online_auc: 0.730413
[640]	train's auc: 0.771243	train's online_auc: 0.77558	valid's auc: 0.735105	valid's online_auc: 0.730415
[641]	train's auc: 0.771351	train's online_auc: 0.775733	valid's auc: 0.735138	valid's online_auc: 0.730459
[642]	train's auc: 0.771387	train's online_auc: 0.775812	valid's auc: 0.735139	valid's online_auc: 0.730457
[643]	train's auc: 0.771414	train's online_auc: 0.775834	valid's auc: 0.735143	valid's online_auc: 0.730456
[644]	train's auc: 0.771443	train's online_auc: 0.775874	valid's auc: 0.735146	valid's online_auc: 0.730453
[645]	train's auc: 0.771461	train's online_auc: 0.775894	valid's auc: 0.735157	valid's online_auc: 0.730461
[646]	train's auc: 0.771495	train's online_auc: 0.775945	valid's auc: 0.735164	valid's online_auc: 0.730479
[647]	train's auc: 0.771522	train's online_auc: 0.775979	valid's auc: 0.735157	valid's online_auc: 0.730463
[648]	train's auc: 0.771551	train's online_auc: 0.776009	valid's auc: 0.735151	valid's online_auc: 0.730462
[649]	train's auc: 0.771588	train's online_auc: 0.776057	valid's auc: 0.735153	valid's online_auc: 0.730449
[650]	train's auc: 0.771675	train's online_auc: 0.776162	valid's auc: 0.735206	valid's online_auc: 0.730505
[651]	train's auc: 0.771746	train's online_auc: 0.776241	valid's auc: 0.73522	valid's online_auc: 0.73053
[652]	train's auc: 0.771791	train's online_auc: 0.776308	valid's auc: 0.735233	valid's online_auc: 0.730523
[653]	train's auc: 0.771857	train's online_auc: 0.776336	valid's auc: 0.735287	valid's online_auc: 0.730555
[654]	train's auc: 0.771933	train's online_auc: 0.776437	valid's auc: 0.73531	valid's online_auc: 0.730577
[655]	train's auc: 0.771965	train's online_auc: 0.776485	valid's auc: 0.735318	valid's online_auc: 0.730592
[656]	train's auc: 0.772006	train's online_auc: 0.776605	valid's auc: 0.735319	valid's online_auc: 0.730633
[657]	train's auc: 0.772019	train's online_auc: 0.776614	valid's auc: 0.73532	valid's online_auc: 0.730637
[658]	train's auc: 0.77204	train's online_auc: 0.776635	valid's auc: 0.735317	valid's online_auc: 0.730636
[659]	train's auc: 0.772078	train's online_auc: 0.776671	valid's auc: 0.735326	valid's online_auc: 0.730645
[660]	train's auc: 0.772115	train's online_auc: 0.776704	valid's auc: 0.735321	valid's online_auc: 0.730658
[661]	train's auc: 0.772134	train's online_auc: 0.77673	valid's auc: 0.735321	valid's online_auc: 0.73065
[662]	train's auc: 0.772175	train's online_auc: 0.776763	valid's auc: 0.735324	valid's online_auc: 0.73064
[663]	train's auc: 0.772216	train's online_auc: 0.776805	valid's auc: 0.735332	valid's online_auc: 0.730643
[664]	train's auc: 0.7723	train's online_auc: 0.776917	valid's auc: 0.735407	valid's online_auc: 0.73074
[665]	train's auc: 0.772347	train's online_auc: 0.77699	valid's auc: 0.735412	valid's online_auc: 0.73076
[666]	train's auc: 0.772358	train's online_auc: 0.777007	valid's auc: 0.735414	valid's online_auc: 0.730759
[667]	train's auc: 0.77239	train's online_auc: 0.777048	valid's auc: 0.735414	valid's online_auc: 0.730757
[668]	train's auc: 0.772448	train's online_auc: 0.777122	valid's auc: 0.735429	valid's online_auc: 0.730758
[669]	train's auc: 0.772476	train's online_auc: 0.777162	valid's auc: 0.735442	valid's online_auc: 0.730749
[670]	train's auc: 0.772513	train's online_auc: 0.777201	valid's auc: 0.735449	valid's online_auc: 0.730754
[671]	train's auc: 0.772604	train's online_auc: 0.777274	valid's auc: 0.735473	valid's online_auc: 0.730772
[672]	train's auc: 0.772638	train's online_auc: 0.777328	valid's auc: 0.735472	valid's online_auc: 0.730768
[673]	train's auc: 0.772689	train's online_auc: 0.77737	valid's auc: 0.735483	valid's online_auc: 0.73078
[674]	train's auc: 0.772771	train's online_auc: 0.777494	valid's auc: 0.735514	valid's online_auc: 0.730856
[675]	train's auc: 0.772781	train's online_auc: 0.777504	valid's auc: 0.735511	valid's online_auc: 0.730855
[676]	train's auc: 0.772808	train's online_auc: 0.777531	valid's auc: 0.735506	valid's online_auc: 0.730852
[677]	train's auc: 0.772837	train's online_auc: 0.77756	valid's auc: 0.735504	valid's online_auc: 0.730858
[678]	train's auc: 0.772871	train's online_auc: 0.777596	valid's auc: 0.735517	valid's online_auc: 0.730858
[679]	train's auc: 0.772903	train's online_auc: 0.777629	valid's auc: 0.735532	valid's online_auc: 0.730875
[680]	train's auc: 0.772923	train's online_auc: 0.777644	valid's auc: 0.73554	valid's online_auc: 0.730908
[681]	train's auc: 0.77297	train's online_auc: 0.777695	valid's auc: 0.735538	valid's online_auc: 0.730899
[682]	train's auc: 0.773003	train's online_auc: 0.777724	valid's auc: 0.735536	valid's online_auc: 0.730884
[683]	train's auc: 0.773086	train's online_auc: 0.77787	valid's auc: 0.735556	valid's online_auc: 0.730931
[684]	train's auc: 0.77313	train's online_auc: 0.777918	valid's auc: 0.735583	valid's online_auc: 0.730946
[685]	train's auc: 0.773266	train's online_auc: 0.778037	valid's auc: 0.735709	valid's online_auc: 0.731046
[686]	train's auc: 0.77332	train's online_auc: 0.778078	valid's auc: 0.735734	valid's online_auc: 0.731083
[687]	train's auc: 0.773362	train's online_auc: 0.778122	valid's auc: 0.73573	valid's online_auc: 0.731063
[688]	train's auc: 0.773482	train's online_auc: 0.77836	valid's auc: 0.735733	valid's online_auc: 0.731084
[689]	train's auc: 0.773547	train's online_auc: 0.778434	valid's auc: 0.735744	valid's online_auc: 0.731115
[690]	train's auc: 0.773577	train's online_auc: 0.778475	valid's auc: 0.73575	valid's online_auc: 0.731127
[691]	train's auc: 0.773604	train's online_auc: 0.778503	valid's auc: 0.735759	valid's online_auc: 0.731131
[692]	train's auc: 0.773647	train's online_auc: 0.778553	valid's auc: 0.735761	valid's online_auc: 0.73115
[693]	train's auc: 0.773661	train's online_auc: 0.778573	valid's auc: 0.735761	valid's online_auc: 0.731151
[694]	train's auc: 0.773707	train's online_auc: 0.77863	valid's auc: 0.735774	valid's online_auc: 0.731174
[695]	train's auc: 0.773736	train's online_auc: 0.778659	valid's auc: 0.735774	valid's online_auc: 0.731185
[696]	train's auc: 0.773824	train's online_auc: 0.778819	valid's auc: 0.735773	valid's online_auc: 0.731158
[697]	train's auc: 0.773859	train's online_auc: 0.778852	valid's auc: 0.735772	valid's online_auc: 0.731157
[698]	train's auc: 0.773901	train's online_auc: 0.778914	valid's auc: 0.735771	valid's online_auc: 0.731154
[699]	train's auc: 0.773954	train's online_auc: 0.778965	valid's auc: 0.735778	valid's online_auc: 0.731171
[700]	train's auc: 0.773973	train's online_auc: 0.778976	valid's auc: 0.735776	valid's online_auc: 0.731165
[701]	train's auc: 0.773998	train's online_auc: 0.779	valid's auc: 0.735778	valid's online_auc: 0.731167
[702]	train's auc: 0.774041	train's online_auc: 0.779044	valid's auc: 0.735774	valid's online_auc: 0.731156
[703]	train's auc: 0.774081	train's online_auc: 0.779088	valid's auc: 0.735776	valid's online_auc: 0.731142
[704]	train's auc: 0.774152	train's online_auc: 0.779272	valid's auc: 0.735794	valid's online_auc: 0.731162
[705]	train's auc: 0.774164	train's online_auc: 0.779281	valid's auc: 0.735791	valid's online_auc: 0.731161
[706]	train's auc: 0.77418	train's online_auc: 0.779294	valid's auc: 0.735796	valid's online_auc: 0.731163
[707]	train's auc: 0.774226	train's online_auc: 0.779333	valid's auc: 0.735804	valid's online_auc: 0.731157
[708]	train's auc: 0.774255	train's online_auc: 0.779372	valid's auc: 0.7358	valid's online_auc: 0.731142
[709]	train's auc: 0.774338	train's online_auc: 0.779458	valid's auc: 0.7358	valid's online_auc: 0.731137
[710]	train's auc: 0.774358	train's online_auc: 0.77948	valid's auc: 0.735795	valid's online_auc: 0.731131
[711]	train's auc: 0.774372	train's online_auc: 0.779502	valid's auc: 0.735798	valid's online_auc: 0.731146
[712]	train's auc: 0.774389	train's online_auc: 0.779519	valid's auc: 0.735801	valid's online_auc: 0.731154
[713]	train's auc: 0.774441	train's online_auc: 0.779573	valid's auc: 0.735798	valid's online_auc: 0.731139
[714]	train's auc: 0.774489	train's online_auc: 0.779618	valid's auc: 0.735795	valid's online_auc: 0.731135
[715]	train's auc: 0.774517	train's online_auc: 0.779656	valid's auc: 0.735795	valid's online_auc: 0.731129
[716]	train's auc: 0.774578	train's online_auc: 0.77985	valid's auc: 0.7358	valid's online_auc: 0.731132
[717]	train's auc: 0.774588	train's online_auc: 0.779859	valid's auc: 0.735801	valid's online_auc: 0.731132
[718]	train's auc: 0.774633	train's online_auc: 0.779923	valid's auc: 0.735799	valid's online_auc: 0.731133
[719]	train's auc: 0.774675	train's online_auc: 0.779961	valid's auc: 0.735817	valid's online_auc: 0.731165
[720]	train's auc: 0.774703	train's online_auc: 0.779997	valid's auc: 0.735828	valid's online_auc: 0.731181
[721]	train's auc: 0.774722	train's online_auc: 0.780019	valid's auc: 0.735828	valid's online_auc: 0.731182
[722]	train's auc: 0.774765	train's online_auc: 0.780053	valid's auc: 0.735835	valid's online_auc: 0.731186
[723]	train's auc: 0.774773	train's online_auc: 0.780059	valid's auc: 0.735835	valid's online_auc: 0.731182
[724]	train's auc: 0.774797	train's online_auc: 0.780088	valid's auc: 0.735841	valid's online_auc: 0.731204
[725]	train's auc: 0.774827	train's online_auc: 0.780114	valid's auc: 0.735841	valid's online_auc: 0.731213
[726]	train's auc: 0.774863	train's online_auc: 0.780204	valid's auc: 0.735841	valid's online_auc: 0.731206
[727]	train's auc: 0.774898	train's online_auc: 0.78025	valid's auc: 0.735837	valid's online_auc: 0.731195
[728]	train's auc: 0.774921	train's online_auc: 0.780267	valid's auc: 0.735851	valid's online_auc: 0.731215
[729]	train's auc: 0.774942	train's online_auc: 0.780281	valid's auc: 0.735857	valid's online_auc: 0.731229
[730]	train's auc: 0.774957	train's online_auc: 0.780295	valid's auc: 0.735848	valid's online_auc: 0.731222
[731]	train's auc: 0.774985	train's online_auc: 0.780323	valid's auc: 0.735848	valid's online_auc: 0.731207
[732]	train's auc: 0.775033	train's online_auc: 0.780408	valid's auc: 0.735841	valid's online_auc: 0.731175
[733]	train's auc: 0.775081	train's online_auc: 0.780458	valid's auc: 0.735845	valid's online_auc: 0.731185
[734]	train's auc: 0.775118	train's online_auc: 0.780502	valid's auc: 0.735844	valid's online_auc: 0.731178
[735]	train's auc: 0.77515	train's online_auc: 0.780532	valid's auc: 0.735854	valid's online_auc: 0.731181
[736]	train's auc: 0.775171	train's online_auc: 0.780553	valid's auc: 0.735858	valid's online_auc: 0.731175
[737]	train's auc: 0.775191	train's online_auc: 0.780576	valid's auc: 0.735859	valid's online_auc: 0.731194
[738]	train's auc: 0.775232	train's online_auc: 0.780611	valid's auc: 0.735856	valid's online_auc: 0.731193
[739]	train's auc: 0.775255	train's online_auc: 0.780623	valid's auc: 0.735861	valid's online_auc: 0.731195
[740]	train's auc: 0.775267	train's online_auc: 0.780637	valid's auc: 0.735866	valid's online_auc: 0.731193
[741]	train's auc: 0.775304	train's online_auc: 0.780682	valid's auc: 0.735873	valid's online_auc: 0.731206
[742]	train's auc: 0.775344	train's online_auc: 0.780731	valid's auc: 0.735864	valid's online_auc: 0.731204
[743]	train's auc: 0.775369	train's online_auc: 0.780752	valid's auc: 0.735879	valid's online_auc: 0.73127
[744]	train's auc: 0.775402	train's online_auc: 0.780781	valid's auc: 0.735885	valid's online_auc: 0.731268
[745]	train's auc: 0.775437	train's online_auc: 0.780814	valid's auc: 0.735896	valid's online_auc: 0.731283
[746]	train's auc: 0.775503	train's online_auc: 0.780865	valid's auc: 0.735904	valid's online_auc: 0.731295
[747]	train's auc: 0.775519	train's online_auc: 0.780872	valid's auc: 0.735907	valid's online_auc: 0.731283
[748]	train's auc: 0.775546	train's online_auc: 0.780908	valid's auc: 0.735904	valid's online_auc: 0.731287
[749]	train's auc: 0.775564	train's online_auc: 0.780925	valid's auc: 0.735899	valid's online_auc: 0.731274
[750]	train's auc: 0.775602	train's online_auc: 0.780962	valid's auc: 0.735905	valid's online_auc: 0.731289
[751]	train's auc: 0.775651	train's online_auc: 0.780994	valid's auc: 0.735929	valid's online_auc: 0.7313
[752]	train's auc: 0.775682	train's online_auc: 0.781021	valid's auc: 0.735938	valid's online_auc: 0.731296
[753]	train's auc: 0.775766	train's online_auc: 0.781217	valid's auc: 0.735959	valid's online_auc: 0.731343
[754]	train's auc: 0.775843	train's online_auc: 0.781384	valid's auc: 0.73596	valid's online_auc: 0.731341
[755]	train's auc: 0.775875	train's online_auc: 0.781443	valid's auc: 0.735969	valid's online_auc: 0.731342
[756]	train's auc: 0.775885	train's online_auc: 0.781448	valid's auc: 0.73597	valid's online_auc: 0.731344
[757]	train's auc: 0.775902	train's online_auc: 0.781482	valid's auc: 0.735978	valid's online_auc: 0.731365
[758]	train's auc: 0.775933	train's online_auc: 0.781522	valid's auc: 0.735978	valid's online_auc: 0.731369
[759]	train's auc: 0.775956	train's online_auc: 0.781556	valid's auc: 0.735973	valid's online_auc: 0.731359
[760]	train's auc: 0.776	train's online_auc: 0.78159	valid's auc: 0.735975	valid's online_auc: 0.731365
[761]	train's auc: 0.776045	train's online_auc: 0.781637	valid's auc: 0.73597	valid's online_auc: 0.731339
[762]	train's auc: 0.776069	train's online_auc: 0.781669	valid's auc: 0.735968	valid's online_auc: 0.731336
[763]	train's auc: 0.776101	train's online_auc: 0.781694	valid's auc: 0.735971	valid's online_auc: 0.731346
[764]	train's auc: 0.776122	train's online_auc: 0.781719	valid's auc: 0.735968	valid's online_auc: 0.731349
[765]	train's auc: 0.776158	train's online_auc: 0.781763	valid's auc: 0.735972	valid's online_auc: 0.731359
[766]	train's auc: 0.776198	train's online_auc: 0.781805	valid's auc: 0.735967	valid's online_auc: 0.73136
[767]	train's auc: 0.776219	train's online_auc: 0.78184	valid's auc: 0.735974	valid's online_auc: 0.731396
[768]	train's auc: 0.776284	train's online_auc: 0.781914	valid's auc: 0.73602	valid's online_auc: 0.731476
[769]	train's auc: 0.776321	train's online_auc: 0.781941	valid's auc: 0.73604	valid's online_auc: 0.731495
[770]	train's auc: 0.776359	train's online_auc: 0.781994	valid's auc: 0.736044	valid's online_auc: 0.731482
[771]	train's auc: 0.77638	train's online_auc: 0.782037	valid's auc: 0.736054	valid's online_auc: 0.731491
[772]	train's auc: 0.776408	train's online_auc: 0.782066	valid's auc: 0.736053	valid's online_auc: 0.731489
[773]	train's auc: 0.776439	train's online_auc: 0.782086	valid's auc: 0.736055	valid's online_auc: 0.731487
